,OBJECTID,ID,T_PUNTO,COD_SGC,CONSECUTIV,DEPTO_LOC,MUN_LOC,VER_LOC,SITIO_LOC,E_PTO,N_PTO,Z_PTO,MET_COTA,U_GEOL,COND_SECO,COND_HUM,LONGITUD,LATITUD
227,348,639,Aljibe,119-I-D-13,13,SANTANDER,BARRANCABERMEJA,CUATRO BOCAS,AL LADO DE LA  VIA FERREA,1026036.0,1265949.0,76.02458,DEM,N1r,0.0,34.6,-73.84187794630178,7.001052990180711
228,349,539,Pozo,108-IV-D-49,49,Santander,Barrancabermeja,Cayumbo,Hacienda La Esmeralda,1046006.0,1282979.0,168.0,DEM,QMsr,0.0,70.57,-73.66101074200748,7.154914309254805
229,350,540,Aljibe,108-IV-C-67,67,Santander,Barrancabermeja,La Union Guarumo,Finca La Ilusión,1044462.0,1283176.0,166.252023,DEM,QMsr,0.0,40.19,-73.67498693712787,7.156708023669705
230,351,541,Aljibe,119-II-B-2,2,Santander,Barrancabermeja,Las Mirlas,,1054423.0,1279505.0,106.318756,DEM,N1r,0.0,81.63,-73.58484613225173,7.123427343620136
231,352,542,Aljibe,108-IV-D-50,50,Santander,Barrancabermeja,Cascajera,Finca El Coco,1057226.0,1282803.0,123.0,DEM,N1r,0.0,30.59,-73.55943924366112,7.15321987618974
232,353,543,Aljibe,119-II-B-3,3,Santander,Barrancabermeja,,Hotel Maitama,1053155.0,1279179.0,100.07161,DEM,N1r,0.0,432.4,-73.59632743948723,7.120491741898872
233,354,544,Aljibe,119-II-B-4,4,Santander,Barrancabermeja,,Finca Canada,1049776.0,1278846.0,102.430077,DEM,N1r,0.0,455.5,-73.6269177806375,7.117511545402555
234,355,545,Pozo,119-II-B-5,5,Santander,Barrancabermeja,El Cucharo,Tienda Restaurante,1050206.0,1277270.0,90.188348,DEM,N1r,0.0,298.5,-73.62303935736256,7.103257521441163
235,356,546,Aljibe,119-II-B-6,6,Santander,Barrancabermeja,El Cucharo,Hotel El Cucharo,1049804.0,1276850.0,90.100654,DEM,N1r,0.0,62.57,-73.62668191332077,7.0994634219669885
236,357,547,Pozo,119-II-B-7,7,Santander,Barrancabermeja,Zarzal Las Lajas,Canan,1047854.0,1273210.0,93.798066,DEM,N1r,0.0,151.6,-73.64436368497984,7.06656715697633
237,358,548,Aljibe,119-II-B-8,8,Santander,Barrancabermeja,Las Lajas,Finca San jose,1045359.0,1270873.0,87.130374,DEM,N1r,0.0,90.61,-73.6669650645476,7.045456225500562
238,359,549,Pozo,119-II-B-9,9,Santander,Barrancabermeja,El Zarzal,Finca Acapulco,1045180.0,1273176.0,87.251178,DEM,N1r,0.0,341.5,-73.66856688467043,7.066281584745522
239,360,550,Pozo,119-II-A-26,26,Santander,Barrancabermeja,Zarzal Las Lajas,Finca San jose,1044990.0,1272139.0,90.185107,DEM,N1r,0.0,205.0,-73.67029481699869,7.0569064401681185
240,361,640,Aljibe,119-I-D-14,14,SANTANDER,BARRANCABERMEJA,CUATRO BOCAS,PARCELA,1027638.0,1269204.0,82.971002,DEM,N1r,0.0,57.4,-73.82736397232507,7.03047803991026
241,362,641,Aljibe,119-I-D-15,15,SANTANDER,BARRANCABERMEJA,CUATRO BOCAS,FINCA LA POZA AMARILLA,1027519.0,1268591.0,80.784073,DEM,N1r,0.0,47.85,-73.82844395244247,7.0249357147859195
242,363,642,Aljibe,119-I-D-16,16,SANTANDER,BARRANCABERMEJA,CUATRO BOCAS,FINCA EL NERGEL,1028781.0,1264406.0,119.0,DEM,N1r,0.0,36.98,-73.81704315302377,6.98708769400033
243,364,643,Aljibe,119-II-C-20,20,SANTANDER,BARRANCABERMEJA,LA MARIA,FINCA VILLA HERMOSA,1038206.0,1263138.0,90.797362,DEM,P3N1c,0.0,129.9,-73.73175732293382,6.975567355403901
244,365,644,Aljibe,119-II-C-21,21,SANTANDER,BARRANCABERMEJA,LAS MARIAS,FINCA EL CAIRO,1038425.0,1262566.0,99.191012,DEM,P3N1c,0.0,21.26,-73.72977929017131,6.970393768008134
245,366,645,Aljibe,119-II-C-22,22,SANTANDER,BARRANCABERMEJA,LAS MARIAS,FINCA LA PRIMAVERA,1040149.0,1261200.0,105.603771,DEM,P3N1c,0.0,47.53,-73.71418759422907,6.958030415576553
246,367,646,Aljibe,119-II-C-23,23,SANTANDER,BARRANCABERMEJA,LAS MARIAS,FINCA LA RESERVA,1040281.0,1260917.0,97.155674,DEM,P3N1c,0.0,113.7,-73.71299507650272,6.955470560700575
247,368,647,Pozo,119-II-C-24,24,SANTANDER,BARRANCABERMEJA,LAS MARIAS,FINCA NUEVO ORIENTE,1041235.0,1260295.0,94.930064,DEM,P3N1c,0.0,315.5,-73.70436665244237,6.949839605662873
248,369,648,Pozo,119-II-C-25,25,SANTANDER,BARRANCABERMEJA,LAS MARIAS,FINCA LAS VILLAS,1041386.0,1261077.0,91.0,DEM,P3N1c,0.0,461.0,-73.70299465252243,6.956909504231747
249,370,649,Pozo,119-II-C-26,26,SANTANDER,BARRANCABERMEJA,LAS MARIAS,FINCA EL PARADOR,1041815.0,1262720.0,89.0,DEM,P3N1c,0.0,789.0,-73.69910066495876,6.971762687955188
250,371,650,Pozo,108-IV-C-68,68,SANTANDER,BARRANCABERMEJA,PENJAMO,FINCA BELLA VISTA,1033579.0,1280960.0,85.25344,DEM,N1r,0.0,199.7,-73.7735244696612,7.136746183533638
251,372,651,Aljibe,108-IV-C-69,69,SANTANDER,BARRANCABERMEJA,PENJAMO,FINCA BELLA VISTA,1033582.0,1280952.0,85.253685,DEM,N1r,0.0,292.1,-73.77349735930933,7.136673828332341
252,373,652,Pozo,119-II-D-6,6,Santander,SAN VICENTE DE CHUCURÍ,Pozo Nutria,Viscaina,1057365.0,1268752.0,134.365393,DEM,N1r,0.0,0.0,-73.55832317216698,7.026170193601318
253,374,653,Superficial,119-II-D-7,7,Santander,SAN VICENTE DE CHUCURÍ,Pozo Nutria II,,1059764.0,1268707.0,308.556084,DEM,P1l,0.0,115.2,-73.53661202102111,7.025738759779034
254,375,378,Aljibe,108-III-D-15,15,Santander,Barrancabermeja,El rodeo,Corregimiento el llanito,1029067.0,1286248.0,92.33197,DEM,N1r,822.0,0.0,-73.81434290839036,7.184586357865442
255,376,379,Aljibe,108-III-D-16,16,Santander,Barrancabermeja,El Rodeo,Corregimiento el llanito,1029021.0,1286140.0,88.619526,DEM,N1r,72.62,0.0,-73.81475993812424,7.183610041296438
256,377,380,Manantial,108-III-D-17,17,Santander,Barrancabermeja,El Rodeo,Corregimiento el llanito,1029026.0,1286152.0,91.05802,DEM,N1r,60.62,0.0,-73.81471460753988,7.18371852151543
257,378,381,Pozo,108-III-D-18,18,Santander,Barrancabermeja,El rodeo,Corregimiento el llanito,1029076.0,1286439.0,82.684288,DEM,N1r,179.4,0.0,-73.81426043154117,7.186313367098046
258,379,382,Aljibe,108-III-D-19,19,Santander,Barrancabermeja,El rodeo,Escuela corregimiento EL Lllanito,1028983.0,1286428.0,81.203973,DEM,N1r,89.87,0.0,-73.81510248340103,7.18621438569578
259,380,383,Pozo,108-III-D-20,20,Santander,Barrancabermeja,Ortensia,Finca Bellomonte,1024897.0,1289316.0,75.0,DEM,Qal,831.1,0.0,-73.85208308668092,7.212347929028992
260,381,384,Pozo,108-III-D-21,21,Santander,Barrancabermeja,Ortensia,Finca Las Delicias,1024254.0,1288827.0,73.957003,DEM,Qal,1042.0,0.0,-73.85790709990975,7.207929129321897
261,382,385,Pozo,108-III-D-22,22,Santander,Barrancabermeja,Ortensia,Finca Nueva Esperanza,1023898.0,1288129.0,79.0,DEM,Qal,888.9,0.0,-73.8611333762417,7.201619209344922
262,383,386,Pozo,108-III-D-23,23,Santander,Barrancabermeja,Ortensia,Finca La estrella,1028388.0,1289650.0,77.40406,DEM,Qal,861.8,0.0,-73.8204730360369,7.21535132874561
263,384,387,Pozo,108-III-D-24,24,Santander,Barrancabermeja,Ortensia,Finca La Esperanza,1028958.0,1289164.0,77.0,DEM,Qal,605.0,0.0,-73.81531462155517,7.2109539019772
264,385,388,Pozo,108-III-D-25,25,Santander,Barrancabermeja,El Porvenir,,1029171.0,1289090.0,78.175758,DEM,Qal,736.0,0.0,-73.8133864655148,7.21028367121068
265,386,389,Pozo,108-IV-A-45,45,Santander,Barrancabermeja,El Porvenir,Finca Discosano,1033891.0,1291291.0,79.258521,DEM,Qal,692.9,0.0,-73.77063739165307,7.230158707728783
266,387,390,Aljibe,108-IV-A-46,46,Santander,Barrancabermeja,El Porvenir,finca La Caimana,1034567.0,1291226.0,82.0,DEM,Qal,810.4,0.0,-73.76451692684162,7.2295668085207705
267,388,391,Aljibe,108-IV-A-47,47,Santander,Barrancabermeja,El Porvenir,Finca Candilejas,1035188.0,1291516.0,84.650464,DEM,Qal,750.6,0.0,-73.7588922297044,7.232185127083468
268,389,392,Aljibe,108-IV-C-3,3,Santander,Barrancabermeja,San Marcos,Finca El Tribo,1034200.0,1288612.0,78.0,DEM,Qal,143.8,0.0,-73.76785601000735,7.205932954217997
269,390,393,Aljibe,108-IV-C-4,4,Santander,Barrancabermeja,San Marcos,Finca El Tribo,1034243.0,1288507.0,87.983012,DEM,N1r,85.24,0.0,-73.76746733071658,7.204983266517248
270,391,394,Aljibe,108-IV-C-5,5,Santander,Barrancabermeja,San Marcos,Hacienda Portugal,1033916.0,1287285.0,84.62911,DEM,N1r,39.29,0.0,-73.7704354336165,7.193935771276056
271,392,395,Aljibe,108-IV-C-6,6,Santander,Barrancabermeja,Las Pavas,Hacienda San Marcos,1033896.0,1287230.0,86.150188,DEM,N1r,35.22,0.0,-73.77061684408908,7.193438574902672
272,393,396,Aljibe,108-IV-C-10,10,Santander,Barrancabermeja,Las Pavas,Corregimiento Hda. Portugal,1033729.0,1286858.0,94.0,DEM,N1r,46.96,0.0,-73.77213107841597,7.190075908293681
273,394,397,Aljibe,108-IV-C-11,11,Santander,Barrancabermeja,El Lanito,Finca Portugal,1032544.0,1286180.0,95.653406,DEM,N1r,83.0,0.0,-73.78286372510989,7.1839523508576155
274,395,398,Aljibe,108-IV-C-12,12,Santander,Barrancabermeja,El Llanito,Finca Las Animas(Villa Maria),1031760.0,1286255.0,96.387267,DEM,N1r,118.0,0.0,-73.78996135200332,7.184635016932579
275,396,399,Aljibe,108-IV-C-13,13,Santander,Barrancabermeja,El Llanito,Finca La Esperanza,1030201.0,1285779.0,108.802358,DEM,N1r,17.15,0.0,-73.80407858103149,7.180339574244981
276,397,400,Aljibe,108-III-D-26,26,Santander,Barrancabermeja,Cienaga el Llanito,Finca Villa Paz,1029355.0,1285649.0,103.443966,DEM,N1r,47.16,0.0,-73.81173859576542,7.179168590189583
277,398,401,Aljibe,108-III-D-27,27,Santander,Barrancabermeja,Cacerio Cienaga el Llanito,Cienaga el llanito,1025409.0,1284358.0,76.832944,DEM,Qal,161.1,0.0,-73.84746986984027,7.167514396644236
278,457,504,Pozo,119-II-A-15,15,SANTANDER,Barrancabermeja,Cienaga Brava,Finca La Ceiba,1036229.0,1276088.0,81.267704,DEM,N1r,0.0,0.0,-73.749566115619,7.092676398412006
279,458,505,Aljibe,119-II-A-16,16,SANTANDER,Barrancabermeja,Cienaga Brava,Finca La Milagrosa,1035962.0,1276594.0,110.016587,DEM,N1r,120.7,0.0,-73.75197973584247,7.097253432585643
280,459,506,Aljibe,119-II-A-17,17,SANTANDER,Barrancabermeja,Cienaga Brava,Finca La Milagrosa,1036311.0,1276382.0,91.049789,DEM,N1r,136.2,0.0,-73.74882198155534,7.095334268844897
281,460,507,Aljibe,119-II-A-18,18,SANTANDER,Barrancabermeja,Cienaga Brava,Finca El Paraiso,1036655.0,1276236.0,85.992203,DEM,N1r,74.94,0.0,-73.74570908592476,7.094011899387511
282,461,508,Aljibe,119-II-A-19,19,SANTANDER,Barrancabermeja,Cienaga Brava,Finca Alto El Rosario,1034307.0,1276024.0,85.293126,DEM,N1r,110.8,0.0,-73.76696410352882,7.092109655696559
283,462,509,Aljibe,119-II-A-20,20,SANTANDER,Barrancabermeja,Cienaga Brava,Finca La Esperanza,1034450.0,1276913.0,85.196352,DEM,Qal,36.31,0.0,-73.76566428311143,7.100147281414861
284,463,510,Aljibe,119-II-A-21,21,SANTANDER,Barrancabermeja,Cienaga Brava,Finca El Nuevo Paraiso,1034189.0,1277658.0,70.659809,DEM,Qal,47.58,0.0,-73.76802234383317,7.106885282186447
285,464,511,Superficial,119-II-A-22,22,SANTANDER,Barrancabermeja,Cienaga Brava,Finca El Nuevo Paraiso,1034196.0,1277673.0,70.566021,DEM,Qal,29.66,0.0,-73.76795888832125,7.107020872461037
286,465,512,Aljibe,108-IV-C-58,58,SANTANDER,Barrancabermeja,Zapatero,Finca La Florida,1031217.0,1280816.0,89.471363,DEM,N1r,70.31,0.0,-73.79490776122641,7.135457692020548
287,466,513,Aljibe,108-IV-C-59,59,SANTANDER,Barrancabermeja,Zapatero,Finca Bella Flor,1030990.0,1280979.0,84.392843,DEM,N1r,80.71,0.0,-73.79696182439113,7.136932821035255
288,467,514,Pozo,108-IV-C-60,60,SANTANDER,Barrancabermeja,Zapatero,Hacienda El Laurel,1030427.0,1280774.0,98.197593,DEM,N1r,81.73,0.0,-73.80205961534247,7.13508224125593
