LINE_ID,X,Y,Z,Tipo,NombreFall
1,-73.437648264,8.417236726,1230.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.437478276,8.415686701,1215.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.437208296,8.413486673,1215.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.436738307,8.411806644,1244.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.436108309,8.409616605,1244.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.435588319,8.407766579,1266.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.435128328,8.405966544,1266.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.434578326,8.404546523,1266.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.434018334,8.402766493,1339.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.43336834,8.400466456,1339.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.43269834,8.398366419,1315.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.431698345,8.395276367,1349.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.430615703,8.3911097003,1405.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.430048373,8.388926266,1405.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.428647305,8.3847595993,1467.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.427246238,8.3805929327,1474.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.426988388,8.379826108,1474.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.42512905,8.3756594413,1501.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.423269713,8.3714927747,1453.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.422588368,8.369965921,1470.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.420827329,8.3657992543,1422.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.419118355,8.361755777,1412.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.417580379,8.3575891103,1422.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.416042404,8.3534224437,1386.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.414958365,8.350485577,1386.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.413474449,8.3463189103,1391.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.412148372,8.34259544,1360.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.412128367,8.34259544,1360.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.410648374,8.338435369,1366.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.409241873,8.3342687023,1374.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.408788385,8.332925274,1389.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.407307272,8.3287586073,1321.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.405898388,8.324795134,1339.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.404465325,8.3206284673,1361.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.403032261,8.3164618007,1274.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.4025484,8.315054962,1274.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.401185114,8.3108882953,1282.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.400238409,8.307994842,1312.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.399418418,8.305504801,1246.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.398344751,8.3013381343,1237.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.397271084,8.2971714677,1252.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.396988457,8.296074656,1252.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.396238982,8.2919079893,1258.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
