,LINE_ID,X,Y,Z,Compañia,Estado,INFO,Campo
59,0,-73.906326734,7.3908422807,61.0,ECOPETROLS.A.,PRODUCCIÓN,,YARIGUI
60,0,-73.903700782,7.3950089474,61.0,ECOPETROLS.A.,PRODUCCIÓN,,YARIGUI
61,0,-73.901074831,7.399175614,60.0,ECOPETROLS.A.,PRODUCCIÓN,,YARIGUI
62,0,-73.898448879,7.4033422807,61.0,ECOPETROLS.A.,PRODUCCIÓN,,YARIGUI
63,0,-73.895822927,7.4075089474,61.0,ECOPETROLS.A.,PRODUCCIÓN,,YARIGUI
64,0,-73.893196975,7.411675614,60.0,ECOPETROLS.A.,PRODUCCIÓN,,YARIGUI
65,0,-73.890571023,7.4158422807,61.0,ECOPETROLS.A.,PRODUCCIÓN,,YARIGUI
66,1,-73.901914093,7.0817050558,71.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
67,1,-73.898288007,7.0775383892,70.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
68,1,-73.89466192,7.0733717225,70.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
69,1,-73.891035834,7.0692050558,68.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
70,1,-73.888366348,7.0661376008,68.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
71,1,-73.890284088,7.0619709341,68.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
72,1,-73.892201829,7.0578042675,73.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
73,1,-73.894119569,7.0536376008,71.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
74,1,-73.896037309,7.0494709341,70.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
75,1,-73.897955049,7.0453042675,69.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
76,1,-73.899872789,7.0411376008,69.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
77,1,-73.901790529,7.0369709341,69.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
78,1,-73.903708269,7.0328042675,71.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
79,1,-73.905626009,7.0286376008,69.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
