OBJECTID;TOPE_CHORROS_WGS84_tif;X;Y;TOPE_CHORROS_WGS84_Band_1
89;-1532;-73,778653530497493;7,860257769237045;-1532,2069092
90;-2011;-73,720428232858936;7,860257769237045;-2011,2507324
91;-2074;-73,710724016585843;7,860257769237045;-2074,6384277
92;-2138;-73,701019800312750;7,860257769237045;-2138,5444336
93;-2210;-73,691315584039657;7,860257769237045;-2210,2216797
94;-2282;-73,681611367766564;7,860257769237045;-2282,5314941
95;-2350;-73,671907151493471;7,860257769237045;-2350,6601562
96;-2424;-73,662202935220378;7,860257769237045;-2424,1105957
97;-2495;-73,652498718947285;7,860257769237045;-2495,0217285
98;-2556;-73,642794502674192;7,860257769237045;-2556,5239258
99;-2591;-73,633090286401099;7,860257769237045;-2591,8566895
100;-2604;-73,623386070128007;7,860257769237045;-2604,4267578
101;-2606;-73,613681853854914;7,860257769237045;-2606,7729492
102;-2605;-73,603977637581821;7,860257769237045;-2605,3706055
103;-2604;-73,594273421308728;7,860257769237045;-2604,3154297
104;-1482;-73,788357746770600;7,850553552963952;-1482,9184570
105;-1559;-73,778653530497493;7,850553552963952;-1559,6661377
106;-1645;-73,768949314224400;7,850553552963952;-1645,6146240
107;-1733;-73,759245097951307;7,850553552963952;-1733,8817139
108;-1819;-73,749540881678215;7,850553552963952;-1819,9454346
109;-1976;-73,730132449132029;7,850553552963952;-1976,3623047
110;-2044;-73,720428232858936;7,850553552963952;-2044,7539062
111;-2106;-73,710724016585843;7,850553552963952;-2106,9165039
112;-2168;-73,701019800312750;7,850553552963952;-2168,7468262
113;-2251;-73,691315584039657;7,850553552963952;-2251,1706543
114;-2335;-73,681611367766564;7,850553552963952;-2335,6142578
115;-2391;-73,671907151493471;7,850553552963952;-2391,8715820
116;-2449;-73,662202935220378;7,850553552963952;-2449,1914062
117;-2508;-73,652498718947285;7,850553552963952;-2508,9299316
118;-2563;-73,642794502674192;7,850553552963952;-2563,5451660
119;-2597;-73,633090286401099;7,850553552963952;-2597,6582031
120;-2610;-73,623386070128007;7,850553552963952;-2610,6088867
121;-2613;-73,613681853854914;7,850553552963952;-2613,2700195
122;-2612;-73,603977637581821;7,850553552963952;-2612,7905273
123;-2613;-73,594273421308728;7,850553552963952;-2613,3291016
124;-1387;-73,807766179316786;7,840849336690859;-1387,3824463
125;-1443;-73,798061963043693;7,840849336690859;-1443,8463135
126;-1510;-73,788357746770600;7,840849336690859;-1510,2608643
127;-1591;-73,778653530497493;7,840849336690859;-1591,3493652
128;-1678;-73,768949314224400;7,840849336690859;-1678,9786377
129;-1768;-73,759245097951307;7,840849336690859;-1768,2056885
130;-1855;-73,749540881678215;7,840849336690859;-1855,3587646
131;-1937;-73,739836665405122;7,840849336690859;-1937,9179688
132;-2014;-73,730132449132029;7,840849336690859;-2014,7962646
133;-2085;-73,720428232858936;7,840849336690859;-2085,4040527
134;-2147;-73,710724016585843;7,840849336690859;-2147,1972656
