,SimboloUC,Descripcio,Edad,UGIntegrad
0,b1-Sct,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados,Berriasiano,Formación Tambor
1,J-Hf,Pórfidos dacíticos y andesíticos,Jurásico,
2,J-Pi,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas,Jurásico,Granitoides de San Lucas
3,Q-ca,Abanicos aluviales y depósitos coluviales,Cuaternario,
4,J3-Sc,"Capas rojas constituidas por arenitas, conglomerados y limolitas.",Jurásico Superior,Formación Girón
5,Q-t,Terrazas aluviales,Cuaternario,
6,OS1-Pf,Granitos con moscovita,Ordovícico-Llandovery,
8,Q-al,Depósitos aluviales y de llanuras aluviales,Cuaternario,
9,b4k1-Sm,"Calizas, lodolitas negras y margas. Cuarzoarenitas de grano fino y lodolitas arenosas.",Barremiano-Cenomaniano,
11,Q2-l,Depósitos paludales,Holoceno,
12,b6k6-Stm,"Shales, calizas, arenitas, cherts y fosforitas",Albiano-Maastrichtiano,
15,J1J2-VCct,"Arenitas, limolitas y calizas intercaladas con tobas, brechas, aglomerados y lavas riolíticas a andesíticas.",Jurásico Inferior-Jurásico Medio,
17,b4b6-Sm,"Arenitas feldespáticas con intercalaciones de calizas, shales, margas y arenitas glauconíticas.",Barremiano-Albiano,
18,n4n6-Sc,Arenitas líticas con intercalaciones de arcillolitas de color gris verdoso y conglomerados,Serravaliano-Mesiniano,Formación Real
21,OS1-Mbg,"Filitas, esquistos, cuarcitas, pizarras, metaconglomerados, metalimolitas y mármoles.",Ordovícico-Llandovery,Formación Silgará
23,J-Vf,Riolitas,Jurásico,
29,N2Q1-Sc,Conglomerados de bloques a guijos con intercalaciones de arcillas y arenitas de grano fino a grueso,Plioceno-Pleistoceno,Formación Algodonal
36,e8n3-Sc,Arcillolitas abigarradas y cuarzoarenitas de grano fino a conglomeráticas,Rupeliano-Langhiano,Grupo Chuspas
44,N2Q1-VCc,"Arenitas feldespáticas y líticas; arcillolitas, y conglomerados con abundantes líticos de andesitas y dacitas.",Plioceno-Pleistoceno,Formación Mesa
55,OS1-Mmg,Ortogneises graníticos a tonalíticos y paragneises de composición anfibolítica y textura migmatítica,Ordovícico-Llandovery,
56,k2k6-Sm,Lodolitas negras y calizas bituminosas intercaladas con cherts negros,Turoniano-Maastrichtiano,
73,E1-Sc,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas,Paleoceno,Formación Lisama
76,MP3NP1-Mag,"Gneises cuarzofeldespáticos, migmatitas, granulitas, anfibolitas, ortogneises, cuarcitas y mármoles.",Esténico-Tónico,Gneis de San Lucas
78,b2k1-Sm,Shales con yeso y chert intercalados con calizas y arenitas,Valanginiano-Cenomaniano,
84,b2b6-Sm,"Shales con yeso, cherts, calizas y arenitas.",Valanginiano-Albiano,
94,C2P-Sm,"Limolitas con intercalaciones de arenitas, arcillolitas y calizas arenosas.",Pensilvánico-Pérmico,Formación Diamante
134,J2J3-VCc,"Ignimbritas félsicas, tobas y lavas riodacíticas.",Jurásico Medio-Jurásico Superior,
155,k1?k5?-Sm,Lodolitas calcáreas con nódulos micríticos y biomicritas,Cenomaniano?-Campaniano?,Formación La Luna
202,D2D3-Sctm,"Conglomerados; arenitas de grano fino a medio con intercalaciones de limolitas, y arcillolitas rojizas.",Devónico Medio-Devónico Superior,
224,b1?b4-Sct,"Cuarzoarenitas y arenitas feldespáticas de grano medio a conglomeráticas, y conglomerados.",Berriasiano?-Barremiano,Formación Río Negro
236,e6e8-Sc,"Arenitas, limolitas y lodolitas con mantos delgados de carbón.",Bartoniano-Rupeliano,Formación Esmeraldas
245,k1k4-Sm,"Lodolitas grises con intercalaciones medianas de calizas, cuarzoarenitas y lentes delgados de carbón.",Cenomaniano-Santoniano,Formación La Luna
261,b6-Vf,"Domos andesíticos; flujos de lava, de piroclastos y de brechas volcánicas.",Albiano,Unidad Extrusiva de Las Brisas
314,Q1-ca,Abanicos aluviales disectados,Pleistoceno,
422,T-Mbg,"Esquistos grafíticos, cuarzomoscovíticos, cloríticos y anfibólicos; filitas; cuarcitas; mármoles, y serpentinitas.",Triásico,Filitas de Tapoa
434,T-Mmg,"Gneises cuarzofeldespáticos algunos con sillimanita, cordierita y hornblenda; anfibolitas; migmatitas; esquistos, y mármoles.",Triásico,Esquistos de Armenia
456,S4D1-Mbg,"Metalodolitas, metarenitas, metaconglomerados y mármoles.",Prídoli-Devónico Inferior,Unidad Metasedimentaria de La Virgen
459,k6E1-Stm,Arcillolitas rojizas con intercalaciones de cuarzoarenitas de grano fino. Mantos de carbón a la base.,Maastrichtiano-Paleoceno,Formación Catatumbo
461,b4k6-Stm,"Shales, calizas, arenitas, cherts y fosforitas",Barremiano-Maastrichtiano,"Cretácico Indiferenciado (Formaciones Tibú-Mercedes, Aguardiente, Capacho, La Luna y Colón Mito Juán)"
496,T?-Sc,"Capas rojas de limolitas, arenitas de grano fino hasta conglomeráticas, conglomerados y brechas.",Triásico?,Formación Noreán
536,n6n7-St,"Intercalaciones de conglomerados, arenitas líticas a sublíticas de grano medio a conglomeráticas, arenitas calcáreas y lodolitas.",Mesiniano-Zancleano,Formación Zambrano
