OBJECTID;BASE_CUATERNARIO_WGS84_tif;X;Y;BASE_CUATERNARIO_WGS84_Band_1
101;-2;-73,698846090591701;8,443985695938947;-2,5703011
102;1;-73,691362507831229;8,443985695938947;1,4261513
103;5;-73,683878925070744;8,443985695938947;5,2740173
104;15;-73,676395342310272;8,443985695938947;15,2957640
105;27;-73,668911759549800;8,443985695938947;27,9881020
106;48;-73,661428176789329;8,443985695938947;48,5161362
107;54;-73,653944594028857;8,443985695938947;54,2921371
108;78;-73,646461011268372;8,443985695938947;78,5444641
109;72;-73,638977428507900;8,443985695938947;72,9417114
110;87;-73,631493845747428;8,443985695938947;87,6420746
111;100;-73,624010262986957;8,443985695938947;100,7625046
112;113;-73,616526680226471;8,443985695938947;113,8875122
113;148;-73,609043097465999;8,443985695938947;148,0000763
114;-30;-73,766198335435973;8,436502113178472;-30,1594734
115;-29;-73,758714752675488;8,436502113178472;-29,9416122
116;-32;-73,751231169915016;8,436502113178472;-32,8269043
117;-33;-73,743747587154544;8,436502113178472;-33,4621620
118;-35;-73,736264004394073;8,436502113178472;-35,5551071
119;-35;-73,728780421633601;8,436502113178472;-35,2030716
120;-32;-73,721296838873116;8,436502113178472;-32,7047424
121;-25;-73,713813256112644;8,436502113178472;-25,8048153
122;-22;-73,706329673352172;8,436502113178472;-22,7200642
123;-17;-73,698846090591701;8,436502113178472;-17,3791046
124;-5;-73,691362507831229;8,436502113178472;-5,5356560
125;7;-73,683878925070744;8,436502113178472;7,1714020
126;15;-73,676395342310272;8,436502113178472;15,7593460
127;29;-73,668911759549800;8,436502113178472;29,6140213
128;42;-73,661428176789329;8,436502113178472;42,7522240
129;52;-73,653944594028857;8,436502113178472;52,6888771
130;61;-73,646461011268372;8,436502113178472;61,2195053
131;77;-73,638977428507900;8,436502113178472;77,5792923
132;90;-73,631493845747428;8,436502113178472;90,8807297
133;99;-73,624010262986957;8,436502113178472;99,6281281
134;118;-73,616526680226471;8,436502113178472;118,1656342
135;142;-73,609043097465999;8,436502113178472;142,1815033
136;-30;-73,766198335435973;8,429018530417999;-30,1594734
137;-29;-73,758714752675488;8,429018530417999;-29,9416122
138;-32;-73,751231169915016;8,429018530417999;-32,8269043
139;-33;-73,743747587154544;8,429018530417999;-33,4621620
140;-35;-73,736264004394073;8,429018530417999;-35,5551071
141;-35;-73,728780421633601;8,429018530417999;-35,2030716
142;-32;-73,721296838873116;8,429018530417999;-32,7047424
143;-25;-73,713813256112644;8,429018530417999;-25,8048153
144;-22;-73,706329673352172;8,429018530417999;-22,7200642
145;-17;-73,698846090591701;8,429018530417999;-17,3791046
146;-5;-73,691362507831229;8,429018530417999;-5,5356560
147;7;-73,683878925070744;8,429018530417999;7,1714020
148;15;-73,676395342310272;8,429018530417999;15,7593460
149;29;-73,668911759549800;8,429018530417999;29,6140213
150;42;-73,661428176789329;8,429018530417999;42,7522240
151;52;-73,653944594028857;8,429018530417999;52,6888771
152;61;-73,646461011268372;8,429018530417999;61,2195053
153;77;-73,638977428507900;8,429018530417999;77,5792923
154;90;-73,631493845747428;8,429018530417999;90,8807297
155;99;-73,624010262986957;8,429018530417999;99,6281281
156;118;-73,616526680226471;8,429018530417999;118,1656342
157;142;-73,609043097465999;8,429018530417999;142,1815033
158;-15;-73,796132666477874;8,421534947657523;-15,1235580
159;-19;-73,788649083717388;8,421534947657523;-19,7448578
160;-23;-73,781165500956917;8,421534947657523;-23,6967354
161;-27;-73,773681918196445;8,421534947657523;-27,5745945
162;-29;-73,766198335435973;8,421534947657523;-29,6553917
163;-32;-73,758714752675488;8,421534947657523;-32,5035439
164;-33;-73,751231169915016;8,421534947657523;-33,9981804
165;-38;-73,743747587154544;8,421534947657523;-38,0250244
166;-40;-73,736264004394073;8,421534947657523;-40,7251663
167;-37;-73,728780421633601;8,421534947657523;-37,0774002
168;-35;-73,721296838873116;8,421534947657523;-35,9258156
169;-28;-73,713813256112644;8,421534947657523;-28,9646339
170;-24;-73,706329673352172;8,421534947657523;-24,4927025
171;-15;-73,698846090591701;8,421534947657523;-15,7085190
172;-5;-73,691362507831229;8,421534947657523;-5,3737984
173;7;-73,683878925070744;8,421534947657523;7,1801143
174;22;-73,676395342310272;8,421534947657523;22,3066254
175;36;-73,668911759549800;8,421534947657523;36,5285110
176;54;-73,661428176789329;8,421534947657523;54,7206688
177;71;-73,653944594028857;8,421534947657523;71,4022675
178;85;-73,646461011268372;8,421534947657523;85,1491852
179;106;-73,638977428507900;8,421534947657523;106,4313202
180;113;-73,631493845747428;8,421534947657523;113,3129730
181;119;-73,624010262986957;8,421534947657523;119,1324234
182;112;-73,616526680226471;8,421534947657523;112,1514511
183;-15;-73,796132666477874;8,414051364897048;-15,1235580
184;-19;-73,788649083717388;8,414051364897048;-19,7448578
185;-23;-73,781165500956917;8,414051364897048;-23,6967354
186;-27;-73,773681918196445;8,414051364897048;-27,5745945
187;-29;-73,766198335435973;8,414051364897048;-29,6553917
188;-32;-73,758714752675488;8,414051364897048;-32,5035439
189;-33;-73,751231169915016;8,414051364897048;-33,9981804
190;-38;-73,743747587154544;8,414051364897048;-38,0250244
191;-40;-73,736264004394073;8,414051364897048;-40,7251663
192;-37;-73,728780421633601;8,414051364897048;-37,0774002
193;-35;-73,721296838873116;8,414051364897048;-35,9258156
194;-28;-73,713813256112644;8,414051364897048;-28,9646339
195;-24;-73,706329673352172;8,414051364897048;-24,4927025
196;-15;-73,698846090591701;8,414051364897048;-15,7085190
197;-5;-73,691362507831229;8,414051364897048;-5,3737984
198;7;-73,683878925070744;8,414051364897048;7,1801143
199;22;-73,676395342310272;8,414051364897048;22,3066254
200;36;-73,668911759549800;8,414051364897048;36,5285110
201;54;-73,661428176789329;8,414051364897048;54,7206688
202;71;-73,653944594028857;8,414051364897048;71,4022675
203;85;-73,646461011268372;8,414051364897048;85,1491852
204;106;-73,638977428507900;8,414051364897048;106,4313202
205;113;-73,631493845747428;8,414051364897048;113,3129730
206;119;-73,624010262986957;8,414051364897048;119,1324234
207;112;-73,616526680226471;8,414051364897048;112,1514511
208;-11;-73,826066997519760;8,406567782136573;-11,0158501
209;-12;-73,818583414759289;8,406567782136573;-12,5452194
210;-14;-73,811099831998817;8,406567782136573;-14,1977463
211;-17;-73,803616249238345;8,406567782136573;-17,3265076
212;-18;-73,796132666477874;8,406567782136573;-18,7672882
213;-21;-73,788649083717388;8,406567782136573;-21,4814053
214;-23;-73,781165500956917;8,406567782136573;-23,8593044
215;-29;-73,773681918196445;8,406567782136573;-29,4759674
216;-32;-73,766198335435973;8,406567782136573;-32,4988174
217;-33;-73,758714752675488;8,406567782136573;-33,1680946
218;-39;-73,751231169915016;8,406567782136573;-39,2838860
219;-40;-73,743747587154544;8,406567782136573;-40,2460022
220;-43;-73,736264004394073;8,406567782136573;-43,2355728
221;-43;-73,728780421633601;8,406567782136573;-43,2396812
222;-41;-73,721296838873116;8,406567782136573;-41,6308365
223;-36;-73,713813256112644;8,406567782136573;-36,5336342
224;-31;-73,706329673352172;8,406567782136573;-31,6920490
225;-23;-73,698846090591701;8,406567782136573;-23,5610504
226;-12;-73,691362507831229;8,406567782136573;-12,8439560
227;0;-73,683878925070744;8,406567782136573;-0,6805801
228;15;-73,676395342310272;8,406567782136573;15,6093712
229;31;-73,668911759549800;8,406567782136573;31,9799652
230;52;-73,661428176789329;8,406567782136573;52,7883949
231;76;-73,653944594028857;8,406567782136573;76,1813812
232;94;-73,646461011268372;8,406567782136573;94,0918884
233;119;-73,638977428507900;8,406567782136573;119,3444672
234;140;-73,631493845747428;8,406567782136573;140,7179565
235;179;-73,624010262986957;8,406567782136573;179,1312408
236;170;-73,616526680226471;8,406567782136573;170,5156250
237;-11;-73,826066997519760;8,399084199376100;-11,0158501
238;-12;-73,818583414759289;8,399084199376100;-12,5452194
239;-14;-73,811099831998817;8,399084199376100;-14,1977463
240;-17;-73,803616249238345;8,399084199376100;-17,3265076
241;-18;-73,796132666477874;8,399084199376100;-18,7672882
242;-21;-73,788649083717388;8,399084199376100;-21,4814053
243;-23;-73,781165500956917;8,399084199376100;-23,8593044
244;-29;-73,773681918196445;8,399084199376100;-29,4759674
245;-32;-73,766198335435973;8,399084199376100;-32,4988174
246;-33;-73,758714752675488;8,399084199376100;-33,1680946
247;-39;-73,751231169915016;8,399084199376100;-39,2838860
248;-40;-73,743747587154544;8,399084199376100;-40,2460022
249;-43;-73,736264004394073;8,399084199376100;-43,2355728
250;-43;-73,728780421633601;8,399084199376100;-43,2396812
251;-41;-73,721296838873116;8,399084199376100;-41,6308365
252;-36;-73,713813256112644;8,399084199376100;-36,5336342
253;-31;-73,706329673352172;8,399084199376100;-31,6920490
254;-23;-73,698846090591701;8,399084199376100;-23,5610504
255;-12;-73,691362507831229;8,399084199376100;-12,8439560
256;0;-73,683878925070744;8,399084199376100;-0,6805801
257;15;-73,676395342310272;8,399084199376100;15,6093712
258;31;-73,668911759549800;8,399084199376100;31,9799652
259;52;-73,661428176789329;8,399084199376100;52,7883949
260;76;-73,653944594028857;8,399084199376100;76,1813812
261;94;-73,646461011268372;8,399084199376100;94,0918884
262;119;-73,638977428507900;8,399084199376100;119,3444672
263;140;-73,631493845747428;8,399084199376100;140,7179565
264;179;-73,624010262986957;8,399084199376100;179,1312408
265;170;-73,616526680226471;8,399084199376100;170,5156250
266;0;-73,856001328561661;8,391600616615625;-0,0281792
267;-1;-73,848517745801189;8,391600616615625;-1,7736243
268;-3;-73,841034163040717;8,391600616615625;-3,7955399
269;-2;-73,833550580280246;8,391600616615625;-2,1025186
270;-7;-73,826066997519760;8,391600616615625;-7,4691296
271;-9;-73,818583414759289;8,391600616615625;-9,1582222
272;-12;-73,811099831998817;8,391600616615625;-12,3331804
273;-13;-73,803616249238345;8,391600616615625;-13,1805859
274;-18;-73,796132666477874;8,391600616615625;-18,6832733
275;-23;-73,788649083717388;8,391600616615625;-23,1875324
276;-25;-73,781165500956917;8,391600616615625;-25,0988388
277;-28;-73,773681918196445;8,391600616615625;-28,8793411
278;-36;-73,766198335435973;8,391600616615625;-36,6597672
279;-33;-73,758714752675488;8,391600616615625;-33,8957253
280;-43;-73,751231169915016;8,391600616615625;-43,4398651
