LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"0","1",0.0000000000,0.0000000000,-73.8853616510,7.4160688282,61.0000000000
"0","2",0.0004513434,0.0004513434,-73.8852765120,7.4165120688,61.0000000000
"0","3",0.0009227262,0.0009227262,-73.8852765120,7.4160406859,61.0000000000
"0","4",0.0000000000,0.0000000000,-73.8895547470,7.4174548329,60.0000000000
"0","5",0.0043883915,1.0000096289,-73.8853880800,7.4160775643,61.0000000000
"0","6",0.0044162274,1.0000374648,-73.8853616510,7.4160688282,61.0000000000
"0","7",0.0086590626,3.0000419652,-73.8861619880,7.4119021615,59.0000000000
"0","8",0.0129018978,4.0000509660,-73.8869623250,7.4077354948,60.0000000000
"0","9",0.0140449908,4.0011940590,-73.8871779500,7.4066129229,60.0000000000
"0","10",0.0187682488,6.0011996363,-73.8894023720,7.4024462562,62.0000000000
"0","11",0.0231292409,7.0012091454,-73.8914561850,7.3985991658,63.0000000000
"0","12",0.0272959075,8.0012178259,-73.8914561850,7.3944324991,62.0000000000
"0","13",0.0314625742,10.0012221660,-73.8914561850,7.3902658324,60.0000000000
"0","14",0.0344430281,10.0042026200,-73.8914561850,7.3872853786,60.0000000000
"0","15",0.0387058536,11.0042117060,-73.8923565020,7.3831187119,61.0000000000
"0","16",0.0429686791,14.0042147340,-73.8932568180,7.3789520452,64.0000000000
"0","17",0.0472315046,15.0042238200,-73.8941571350,7.3747853786,63.0000000000
"0","18",0.0479474388,15.0049397540,-73.8943083420,7.3740855941,63.0000000000
"0","19",0.0524299769,16.0049498010,-73.8984750080,7.3724327066,64.0000000000
"0","20",0.0556183796,17.0049548840,-73.9014387330,7.3712570176,63.0000000000
"0","21",0.0597958392,17.0091323440,-73.9011386360,7.3670903509,63.0000000000
"0","22",0.0622355579,18.0091353200,-73.9009633740,7.3646569356,62.0000000000
"0","23",0.0665919057,18.0134916680,-73.9051300410,7.3633854580,62.0000000000
"0","24",0.0686965510,18.0155963130,-73.9071430470,7.3627711798,62.0000000000
"0","25",0.0729106039,18.0198103660,-73.9077732300,7.3586045131,62.0000000000
"0","26",0.0771246568,19.0198192450,-73.9084034120,7.3544378465,63.0000000000
"0","27",0.0813387096,21.0198236840,-73.9090335950,7.3502711798,65.0000000000
"0","28",0.0855527625,22.0198325630,-73.9096637780,7.3461045131,64.0000000000
"0","29",0.0877690156,22.0220488170,-73.9099952040,7.3439131813,64.0000000000
"0","30",0.0921574776,24.0220536310,-73.9141618700,7.3452906747,62.0000000000
"0","31",0.0922749849,24.0221711390,-73.9142734390,7.3453275590,62.0000000000
"0","32",0.0966110977,24.0265072510,-73.9154737560,7.3411608923,62.0000000000
"0","33",0.0991438741,24.0290400280,-73.9161748770,7.3387270914,62.0000000000
"0","34",0.1037518757,27.0290435670,-73.9203415430,7.3367592073,59.0000000000
"0","35",0.1083598773,27.0336515680,-73.9245082100,7.3347913232,59.0000000000
"0","36",0.1101837781,32.0336519010,-73.9261574250,7.3340124118,64.0000000000
"0","37",0.1133517409,32.0368198640,-73.9275835030,7.3311835800,64.0000000000
"0","38",0.1175222799,34.0368242120,-73.9317501700,7.3310039014,66.0000000000
"0","39",0.1216928189,36.0368285600,-73.9359168370,7.3308242227,64.0000000000
"0","40",0.1258633579,36.0409990990,-73.9400835030,7.3306445440,64.0000000000
"0","41",0.1300338969,36.0451696380,-73.9442501700,7.3304648654,64.0000000000
"0","42",0.1342044359,37.0451783350,-73.9484168370,7.3302851867,65.0000000000
"0","43",0.1352385977,37.0462124970,-73.9494500380,7.3302406321,65.0000000000
"0","44",0.1394227308,37.0503966300,-73.9498319520,7.3344072988,65.0000000000
"0","45",0.1436068638,40.0503995480,-73.9502138660,7.3385739654,62.0000000000
"0","46",0.1456543949,40.0524470790,-73.9504007570,7.3406129493,62.0000000000
"0","47",0.1505629684,41.0524591260,-73.9462340910,7.3432077485,61.0000000000
"0","48",0.1554715420,41.0573676990,-73.9420674240,7.3458025477,61.0000000000
"0","49",0.1603801155,45.0573707110,-73.9379007570,7.3483973470,65.0000000000
"0","50",0.1652886890,46.0573827580,-73.9337340910,7.3509921462,64.0000000000
"0","51",0.1697344311,47.0573926400,-73.9299603010,7.3533422807,63.0000000000
"0","52",0.1746595437,49.0573987050,-73.9273343490,7.3575089474,65.0000000000
"0","53",0.1795846563,49.0623238170,-73.9247083970,7.3616756140,65.0000000000
"0","54",0.1845097689,52.0623278600,-73.9220824450,7.3658422807,62.0000000000
"0","55",0.1894348815,56.0623308920,-73.9194564930,7.3700089474,66.0000000000
"0","56",0.1943599941,60.0623339240,-73.9168305420,7.3741756140,62.0000000000
"0","57",0.1992851067,61.0623460520,-73.9142045900,7.3783422807,61.0000000000
"0","58",0.2042102193,61.0672711650,-73.9115786380,7.3825089474,61.0000000000
"0","59",0.2091353319,62.0672832930,-73.9089526860,7.3866756140,62.0000000000
"0","60",0.2140604445,63.0672954220,-73.9063267340,7.3908422807,61.0000000000
"0","61",0.2189855571,63.0722205340,-73.9037007820,7.3950089474,61.0000000000
"0","62",0.2239106697,64.0722326630,-73.9010748310,7.3991756140,60.0000000000
"0","63",0.2288357823,65.0722447910,-73.8984488790,7.4033422807,61.0000000000
"0","64",0.2337608949,65.0771699030,-73.8958229270,7.4075089474,61.0000000000
"0","65",0.2386860075,66.0771820320,-73.8931969750,7.4116756140,60.0000000000
"0","66",0.2436111201,67.0771941600,-73.8905710230,7.4158422807,61.0000000000
"1","67",0.0000000000,0.0000000000,-73.9019140930,7.0817050558,71.0000000000
"1","68",0.0055235508,1.0000152547,-73.8982880070,7.0775383892,70.0000000000
