OBJECTID;TOPE_MUGROSA_WGS84_tif;X;Y;TOPE_MUGROSA_WGS84_Band_1
91;-163;-73,924500956823650;7,918388633268275;-163,8891602
92;-177;-73,914819684638729;7,918388633268275;-177,9659882
93;-194;-73,905138412453809;7,918388633268275;-194,3704834
94;-215;-73,895457140268874;7,918388633268275;-215,5841675
95;-247;-73,885775868083954;7,918388633268275;-247,4482422
96;-299;-73,876094595899033;7,918388633268275;-299,9190674
97;-381;-73,866413323714113;7,918388633268275;-381,4266357
98;-449;-73,856732051529193;7,918388633268275;-449,0302124
99;-938;-73,798644418419670;7,918388633268275;-938,7215576
100;-1032;-73,788963146234735;7,918388633268275;-1032,3332520
101;-1131;-73,779281874049815;7,918388633268275;-1131,6041260
102;-1231;-73,769600601864894;7,918388633268275;-1231,7052002
103;-1325;-73,759919329679974;7,918388633268275;-1325,2095947
104;-1562;-73,730875513125213;7,918388633268275;-1562,0358887
105;-1628;-73,721194240940292;7,918388633268275;-1628,8045654
106;-1690;-73,711512968755372;7,918388633268275;-1690,7659912
107;-1748;-73,701831696570451;7,918388633268275;-1748,8181152
108;-1804;-73,692150424385531;7,918388633268275;-1804,2548828
109;-1858;-73,682469152200611;7,918388633268275;-1858,8836670
110;-1914;-73,672787880015676;7,918388633268275;-1914,6361084
111;-1972;-73,663106607830755;7,918388633268275;-1972,7729492
112;-2033;-73,653425335645835;7,918388633268275;-2033,3289795
113;-2094;-73,643744063460915;7,918388633268275;-2094,6018066
114;-2150;-73,634062791275994;7,918388633268275;-2150,1386719
115;-2183;-73,624381519091074;7,918388633268275;-2183,1704102
116;-2218;-73,614700246906153;7,918388633268275;-2218,6679688
117;-2239;-73,605018974721233;7,918388633268275;-2239,6918945
118;-190;-73,924500956823650;7,908707361083353;-190,4735107
119;-213;-73,914819684638729;7,908707361083353;-213,0495605
120;-239;-73,905138412453809;7,908707361083353;-239,4393311
121;-272;-73,895457140268874;7,908707361083353;-272,0098267
122;-314;-73,885775868083954;7,908707361083353;-314,9118652
123;-372;-73,876094595899033;7,908707361083353;-372,8703918
124;-443;-73,866413323714113;7,908707361083353;-443,9125366
125;-504;-73,856732051529193;7,908707361083353;-504,1423950
126;-564;-73,847050779344272;7,908707361083353;-564,7413330
127;-867;-73,808325690604590;7,908707361083353;-867,4454346
128;-955;-73,798644418419670;7,908707361083353;-955,7610474
129;-1047;-73,788963146234735;7,908707361083353;-1047,7473145
130;-1143;-73,779281874049815;7,908707361083353;-1143,7927246
131;-1239;-73,769600601864894;7,908707361083353;-1239,8563232
132;-1332;-73,759919329679974;7,908707361083353;-1332,2890625
133;-1419;-73,750238057495054;7,908707361083353;-1419,1591797
134;-1499;-73,740556785310133;7,908707361083353;-1499,8642578
135;-1574;-73,730875513125213;7,908707361083353;-1574,5473633
136;-1643;-73,721194240940292;7,908707361083353;-1643,7038574
137;-1707;-73,711512968755372;7,908707361083353;-1707,9707031
138;-1768;-73,701831696570451;7,908707361083353;-1768,2276611
139;-1825;-73,692150424385531;7,908707361083353;-1825,8771973
140;-1882;-73,682469152200611;7,908707361083353;-1882,8824463
141;-1941;-73,672787880015676;7,908707361083353;-1941,0899658
142;-2001;-73,663106607830755;7,908707361083353;-2001,1916504
143;-2063;-73,653425335645835;7,908707361083353;-2063,2624512
144;-2129;-73,643744063460915;7,908707361083353;-2129,7360840
145;-2203;-73,634062791275994;7,908707361083353;-2203,5749512
146;-2253;-73,624381519091074;7,908707361083353;-2253,4479980
147;-2295;-73,614700246906153;7,908707361083353;-2295,4189453
148;-2320;-73,605018974721233;7,908707361083353;-2320,2304688
149;-220;-73,924500956823650;7,899026088898432;-220,6427765
150;-251;-73,914819684638729;7,899026088898432;-251,0140991
151;-285;-73,905138412453809;7,899026088898432;-285,8195190
152;-326;-73,895457140268874;7,899026088898432;-326,6062012
153;-375;-73,885775868083954;7,899026088898432;-375,6003418
154;-434;-73,876094595899033;7,899026088898432;-434,4854126
155;-499;-73,866413323714113;7,899026088898432;-499,9320984
156;-554;-73,856732051529193;7,899026088898432;-554,7301636
157;-610;-73,847050779344272;7,899026088898432;-610,5964355
158;-672;-73,837369507159352;7,899026088898432;-672,1397705
159;-740;-73,827688234974431;7,899026088898432;-740,6069946
160;-815;-73,818006962789511;7,899026088898432;-815,8563843
161;-897;-73,808325690604590;7,899026088898432;-897,2675171
162;-984;-73,798644418419670;7,899026088898432;-984,2360229
163;-1076;-73,788963146234735;7,899026088898432;-1076,2150879
164;-1165;-73,779281874049815;7,899026088898432;-1165,6372070
165;-1256;-73,769600601864894;7,899026088898432;-1256,6817627
166;-1346;-73,759919329679974;7,899026088898432;-1346,2365723
167;-1432;-73,750238057495054;7,899026088898432;-1432,1093750
168;-1513;-73,740556785310133;7,899026088898432;-1513,1002197
169;-1588;-73,730875513125213;7,899026088898432;-1588,8067627
170;-1659;-73,721194240940292;7,899026088898432;-1659,3308105
171;-1725;-73,711512968755372;7,899026088898432;-1725,1025391
172;-1787;-73,701831696570451;7,899026088898432;-1787,0025635
173;-1846;-73,692150424385531;7,899026088898432;-1846,6514893
174;-1906;-73,682469152200611;7,899026088898432;-1906,4134521
175;-1968;-73,672787880015676;7,899026088898432;-1968,3612061
176;-2032;-73,663106607830755;7,899026088898432;-2032,4907227
177;-2098;-73,653425335645835;7,899026088898432;-2098,7844238
178;-2181;-73,643744063460915;7,899026088898432;-2181,7885742
179;-2253;-73,634062791275994;7,899026088898432;-2253,2529297
180;-2314;-73,624381519091074;7,899026088898432;-2314,4545898
181;-2366;-73,614700246906153;7,899026088898432;-2366,6196289
182;-2398;-73,605018974721233;7,899026088898432;-2398,2561035
183;-251;-73,924500956823650;7,889344816713511;-251,9513092
184;-288;-73,914819684638729;7,889344816713511;-288,8824463
185;-329;-73,905138412453809;7,889344816713511;-329,9765625
186;-375;-73,895457140268874;7,889344816713511;-375,7752075
187;-426;-73,885775868083954;7,889344816713511;-426,7959595
188;-482;-73,876094595899033;7,889344816713511;-482,8601685
189;-541;-73,866413323714113;7,889344816713511;-541,6376343
190;-596;-73,856732051529193;7,889344816713511;-596,9890137
191;-653;-73,847050779344272;7,889344816713511;-653,2541504
192;-713;-73,837369507159352;7,889344816713511;-713,8162842
193;-780;-73,827688234974431;7,889344816713511;-780,2174072
194;-852;-73,818006962789511;7,889344816713511;-852,7886963
195;-930;-73,808325690604590;7,889344816713511;-930,9987793
196;-1013;-73,798644418419670;7,889344816713511;-1013,0167236
197;-1095;-73,788963146234735;7,889344816713511;-1095,0755615
198;-1187;-73,779281874049815;7,889344816713511;-1187,2668457
199;-1276;-73,769600601864894;7,889344816713511;-1276,5711670
200;-1363;-73,759919329679974;7,889344816713511;-1363,6691895
201;-1447;-73,750238057495054;7,889344816713511;-1447,9797363
202;-1528;-73,740556785310133;7,889344816713511;-1528,3829346
203;-1604;-73,730875513125213;7,889344816713511;-1604,1474609
204;-1675;-73,721194240940292;7,889344816713511;-1675,1018066
205;-1741;-73,711512968755372;7,889344816713511;-1741,6152344
206;-1804;-73,701831696570451;7,889344816713511;-1804,7042236
207;-1866;-73,692150424385531;7,889344816713511;-1866,2847900
208;-1929;-73,682469152200611;7,889344816713511;-1929,3077393
209;-1996;-73,672787880015676;7,889344816713511;-1996,4268799
210;-2065;-73,663106607830755;7,889344816713511;-2065,1691895
211;-2125;-73,653425335645835;7,889344816713511;-2125,3740234
