LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,OBJECTID,SHAPE_Leng,Tipo,NombreFall,Comentario
"1","38",0.0747926885,1003.0177609000,-73.4453177840,8.4749075700,1083.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","39",0.0769949859,1003.0199632000,-73.4447977940,8.4727675410,1083.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","40",0.0783639517,1003.0213322000,-73.4445177980,8.4714275150,1083.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","41",0.0802154576,1031.0213322000,-73.4441778120,8.4696074920,1111.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","42",0.0824281796,1031.0235450000,-73.4436978250,8.4674474570,1111.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","43",0.0851379061,1039.0235454000,-73.4432978410,8.4647674140,1119.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","44",0.0875154969,1067.0235455000,-73.4427778600,8.4624473800,1147.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","45",0.0892619446,1067.0252920000,-73.4423778670,8.4607473550,1147.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","46",0.0901546525,1067.0261847000,-73.4422278750,8.4598673380,1147.0000000000,"17852",0.04098460968,Falla,,
"1","46",0.0901546525,1067.0261847000,-73.4422278750,8.4598673380,1147.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","47",0.0919458821,1098.0261847000,-73.4420278840,8.4580873080,1178.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","48",0.0941118237,1098.0283507000,-73.4418679120,8.4559272820,1178.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","49",0.0963037003,1171.0283507000,-73.4417779360,8.4537372530,1105.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","50",0.0986447805,1266.0283507000,-73.4413979490,8.4514272170,1010.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","51",0.1012797323,1286.0283509000,-73.4411179800,8.4488071810,1030.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","52",0.1025563879,1286.0296276000,-73.4409879850,8.4475371610,1030.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","53",0.1040064042,1286.0310776000,-73.4407480000,8.4461071420,1030.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
