LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,Id_2,Campo,Compañia,Estado,Info_hidro,INFO
"2","130",0.0865366586,118.0059155300,-73.4461900340,7.3243268989,140.0000000000,"7",PROVINCIA SUR,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"2","134",0.1066769882,145.0059271700,-73.4586672050,7.3085169941,143.0000000000,"7",PROVINCIA SUR,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"2","139",0.1309112633,177.0059413500,-73.4712866540,7.3292063535,121.0000000000,"7",PROVINCIA SUR,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"2","143",0.1467341232,199.0076579100,-73.4639315660,7.3432158351,139.0000000000,"7",PROVINCIA SUR,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"3","158",0.0000000000,0.0000000000,-73.6794458680,7.8381935656,42.0000000000,"8",SANTA LUCIA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS"
"3","171",0.0513388212,28.0000665650,-73.6281070470,7.8381935656,46.0000000000,"8",SANTA LUCIA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS"
"3","178",0.0803100756,32.0126042650,-73.6288200860,7.8092310872,46.0000000000,"8",SANTA LUCIA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS"
"3","186",0.1100152890,40.0173241220,-73.6273940070,7.7795601248,48.0000000000,"8",SANTA LUCIA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS"
"3","195",0.1471938867,48.0342230960,-73.6330983210,7.7428217398,50.0000000000,"8",SANTA LUCIA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS"
"3","210",0.2056673684,54.0719007920,-73.6915675340,7.7435282775,46.0000000000,"8",SANTA LUCIA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS"
"3","220",0.2441474964,67.0812114490,-73.6936826560,7.7819502310,45.0000000000,"8",SANTA LUCIA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS"
