NOMBRE,CONSECUTIVO,pH,CE(µS/cm),SDT(mg/L),Ca(mg/L),HCO3(mg/L),Prof(m),ESTE,NORTE,lon,lat
Acueducto km 8,108-I-D-23,"6,49","120,9","59,75","8,4",73,64,1026155,1302032,-73.8406326123982,7.327322310934856
Acueducto Pedral,108-III-B-4,"6,21","111,3","55,03",8,"55,3",130,1025829,1290994,-73.84363673499881,7.227516474148374
Acueducto Puente Sogamoso,108-IV-A-19,"6,72","113,8","56,27","8,4","59,7",117,1032207,1293130,-73.78587457426315,7.2467972034449
Acueducto Sabaneta,108-II-D-19,"5,98","102,5","50,72","6,4","51,1",57,1047631,1304703,-73.64611277218096,7.351328946768271
Acueducto San Claver,108-II-C-16,"6,54","132,8","65,59",11,94,90,1033872,1301696,-73.77074553314822,7.324241949495104
Pozo Barrio el Arenal-Puerto Wilches,108-I-D-3,"6,76","189,8","93,48","19,6","107,9",80,1018722,1302257,-73.9079492905608,7.329387203665924
Pozo Planta de Tratamiento Puerto Wilches,108-I-D-16,"6,99","92,5","45,82","5,8","61,7",128,1020158,1304062,-73.89493733004451,7.345703225609543
Pozo principal Puerto Wilches,108-I-D-2,"6,93","117,9","58,3","6,6",73,100,1019282,1304189,-73.90287076983151,7.346854737855716
