OBJECTID;TOPE_COLORADO_WGS84_tif;X;Y;TOPE_COLORADO_WGS84_Band_1
89;-1281;-73,653425335645835;8,112014076966709;-1281,4034424
90;-1280;-73,643744063460915;8,112014076966709;-1280,5932617
91;-1289;-73,634062791275994;8,112014076966709;-1289,3999023
92;-1292;-73,624381519091074;8,112014076966709;-1292,3497314
93;-1302;-73,614700246906153;8,112014076966709;-1302,8118896
94;-1353;-73,605018974721233;8,112014076966709;-1353,5734863
95;-1366;-73,595337702536312;8,112014076966709;-1366,2088623
96;-1370;-73,585656430351392;8,112014076966709;-1370,3737793
97;-1363;-73,575975158166472;8,112014076966709;-1363,3283691
98;-966;-73,721194240940292;8,102332804781788;-966,6727295
99;-1002;-73,711512968755372;8,102332804781788;-1002,6976318
100;-1061;-73,701831696570451;8,102332804781788;-1061,7390137
101;-1120;-73,692150424385531;8,102332804781788;-1120,6511230
102;-1159;-73,682469152200611;8,102332804781788;-1159,4373779
103;-1212;-73,672787880015676;8,102332804781788;-1212,0996094
104;-1275;-73,663106607830755;8,102332804781788;-1275,7915039
105;-1297;-73,653425335645835;8,102332804781788;-1297,8251953
106;-1302;-73,643744063460915;8,102332804781788;-1302,1948242
107;-1308;-73,634062791275994;8,102332804781788;-1308,7933350
108;-1325;-73,624381519091074;8,102332804781788;-1325,2880859
109;-1361;-73,614700246906153;8,102332804781788;-1361,7447510
110;-1401;-73,605018974721233;8,102332804781788;-1401,9201660
111;-1410;-73,595337702536312;8,102332804781788;-1410,8242188
112;-1012;-73,711512968755372;8,092651532596866;-1012,6317139
113;-1088;-73,701831696570451;8,092651532596866;-1088,3527832
114;-1166;-73,692150424385531;8,092651532596866;-1166,1494141
115;-1208;-73,682469152200611;8,092651532596866;-1208,0617676
116;-1251;-73,672787880015676;8,092651532596866;-1251,2818604
117;-1292;-73,663106607830755;8,092651532596866;-1292,4692383
118;-1313;-73,653425335645835;8,092651532596866;-1313,0905762
119;-1320;-73,643744063460915;8,092651532596866;-1320,8033447
120;-1329;-73,634062791275994;8,092651532596866;-1329,0769043
121;-1354;-73,624381519091074;8,092651532596866;-1354,2987061
122;-1407;-73,614700246906153;8,092651532596866;-1407,1722412
123;-1454;-73,605018974721233;8,092651532596866;-1454,0637207
124;-651;-73,769600601864894;8,082970260411944;-651,6278076
125;-703;-73,759919329679974;8,082970260411944;-703,3605347
126;-763;-73,750238057495054;8,082970260411944;-763,5390625
127;-975;-73,721194240940292;8,082970260411944;-975,4029541
128;-1011;-73,711512968755372;8,082970260411944;-1011,5447998
129;-1110;-73,701831696570451;8,082970260411944;-1110,4523926
130;-1199;-73,692150424385531;8,082970260411944;-1199,6525879
131;-1247;-73,682469152200611;8,082970260411944;-1247,7276611
132;-1286;-73,672787880015676;8,082970260411944;-1286,5725098
133;-1318;-73,663106607830755;8,082970260411944;-1318,1165771
134;-1337;-73,653425335645835;8,082970260411944;-1337,0321045
135;-1350;-73,643744063460915;8,082970260411944;-1350,1889648
136;-1370;-73,634062791275994;8,082970260411944;-1370,0672607
137;-1404;-73,624381519091074;8,082970260411944;-1404,6641846
138;-1454;-73,614700246906153;8,082970260411944;-1454,0709229
139;-1497;-73,605018974721233;8,082970260411944;-1497,5544434
140;-1509;-73,595337702536312;8,082970260411944;-1509,6674805
141;-523;-73,788963146234735;8,073288988227022;-523,1886597
142;-594;-73,779281874049815;8,073288988227022;-594,8255005
143;-656;-73,769600601864894;8,073288988227022;-656,8668213
144;-703;-73,759919329679974;8,073288988227022;-703,3859253
145;-736;-73,750238057495054;8,073288988227022;-736,9246826
146;-830;-73,740556785310133;8,073288988227022;-830,7712402
147;-905;-73,730875513125213;8,073288988227022;-905,9385986
148;-975;-73,721194240940292;8,073288988227022;-975,6113281
149;-1044;-73,711512968755372;8,073288988227022;-1044,8056641
150;-1148;-73,701831696570451;8,073288988227022;-1148,0781250
151;-1224;-73,692150424385531;8,073288988227022;-1224,7509766
152;-1275;-73,682469152200611;8,073288988227022;-1275,8568115
153;-1317;-73,672787880015676;8,073288988227022;-1317,6997070
154;-1349;-73,663106607830755;8,073288988227022;-1349,1511230
155;-1368;-73,653425335645835;8,073288988227022;-1368,0274658
156;-1384;-73,643744063460915;8,073288988227022;-1384,7947998
157;-1414;-73,634062791275994;8,073288988227022;-1414,5679932
158;-1453;-73,624381519091074;8,073288988227022;-1453,2421875
159;-1491;-73,614700246906153;8,073288988227022;-1491,6823730
160;-1515;-73,605018974721233;8,073288988227022;-1515,8786621
161;-1529;-73,595337702536312;8,073288988227022;-1529,2097168
162;-437;-73,798644418419670;8,063607716042101;-437,9456787
163;-519;-73,788963146234735;8,063607716042101;-519,9160156
164;-605;-73,779281874049815;8,063607716042101;-605,9993286
165;-689;-73,769600601864894;8,063607716042101;-689,1686401
166;-767;-73,759919329679974;8,063607716042101;-767,8682861
167;-846;-73,750238057495054;8,063607716042101;-846,7042236
168;-881;-73,740556785310133;8,063607716042101;-881,8878784
169;-932;-73,730875513125213;8,063607716042101;-932,2804565
170;-1001;-73,721194240940292;8,063607716042101;-1001,0031738
171;-1081;-73,711512968755372;8,063607716042101;-1081,5402832
172;-1190;-73,701831696570451;8,063607716042101;-1190,6156006
173;-1254;-73,692150424385531;8,063607716042101;-1254,2871094
174;-1298;-73,682469152200611;8,063607716042101;-1298,7816162
175;-1347;-73,672787880015676;8,063607716042101;-1347,1262207
176;-1385;-73,663106607830755;8,063607716042101;-1385,1473389
177;-1405;-73,653425335645835;8,063607716042101;-1405,0534668
178;-1422;-73,643744063460915;8,063607716042101;-1422,9581299
179;-1463;-73,634062791275994;8,063607716042101;-1463,2961426
180;-1502;-73,624381519091074;8,063607716042101;-1502,0834961
181;-1530;-73,614700246906153;8,063607716042101;-1530,9279785
182;-1532;-73,605018974721233;8,063607716042101;-1532,9531250
183;-1538;-73,595337702536312;8,063607716042101;-1538,9799805
